id,title,publish_utc,sports_name,user_name,likes,views
133,Oklahoma City Thunder come from behind to outclass the Memphis Grizzlies,2019-03-04 22:36:19,Basketball,Aravind Viswanath,0,123
134,Five new IFAB rule changes that will impact football,2019-03-04 23:18:33,Football,Aravind Viswanath,0,136
135,Captain Kohli's 40th ODI ton proves to be key as India edge Australia in the 2nd ODI at Nagpur,2019-03-05 22:05:56,Cricket,Aravind Viswanath,0,189
136,Holders Real Madrid stunned by Ajax in a massive Champions League upset,2019-03-05 22:44:47,Football,Aravind Viswanath,0,104
137,Golden Knights get past Canucks thanks to Marc-Andre Fleury's reflexes,2019-03-06 12:00:21,Hockey,Aravind Viswanath,0,111
138,Harry Kane's goal ends Dortmund hopes of an unlikely Champions League last eight berth,2019-03-06 12:35:42,Football,Aravind Viswanath,0,126
139,Super Bowl LIII: Basic facts you need to know,2019-03-07 22:23:37,American Football,Aravind Viswanath,0,194
140,Manchester United's scathing display sees PSG crashing out of the Champions League,2019-03-07 22:50:46,Football,Aravind Viswanath,0,190
141,Rennes overpowers Arsenal in a strong attacking performance in the Europa League,2019-03-08 20:41:41,Football,Aravind Viswanath,0,90
142,King Kohli's 41st ODI ton goes in vain as Australia seal a 32-run victory against India in Ranchi,2019-03-08 20:40:10,Cricket,Aravind Viswanath,0,889
143,Chennai City are India champions in yet another last-day I-League decider,2019-03-09 20:38:36,Football,Aravind Viswanath,0,103
144,Formula 1 to award points to drivers who set fastest laps,2019-03-09 20:37:25,F1,Aravind Viswanath,0,150
145,Australia pip India by four wickets in a mammoth chase at Mohali to level the series 2-2,2019-03-10 22:47:50,Cricket,Aravind Viswanath,0,163
146,Arsenal heat up the Champions League race after a brilliant win against in-form Manchester United,2019-03-10 22:48:38,Football,Aravind Viswanath,0,136
147,Five footballers who deserve to represent their national sides,2019-03-11 11:03:53,Football,Aravind Viswanath,0,128
148,Rafael Nadal cruises to an easy win without breaking a sweat against Jared Donaldson,2019-03-11 11:02:05,Tennis,Aravind Viswanath,0,131
149,Zinedine Zidane returns as Real Madrid manager,2019-03-12 20:28:54,Football,Aravind Viswanath,0,116
150,Clippers crush Celtics in a convincing display,2019-03-12 20:26:21,Basketball,Aravind Viswanath,0,201
151,Australia seal series triumph against India after a superb all-round display in Delhi,2019-03-13 18:20:36,Cricket,Aravind Viswanath,0,159
152,"Juventus crush Atletico's hopes, powered by a clutch hat-trick from Cristiano Ronaldo",2019-03-13 18:22:14,Football,Aravind Viswanath,0,187
153,Five best international hockey teams,2019-03-14 14:32:01,Hockey,Aravind Viswanath,0,218
154,Liverpool thrash Bayern Munich at the Allianz Arena to power its way through to the UCL quarters,2019-03-14 14:33:46,Football,Aravind Viswanath,0,125
155,Five best table tennis players of all time,2019-03-15 16:49:01,Table Tennis,Aravind Viswanath,0,218
156,Chelsea thrash Dynamo Kiev and march on to the Europa League last eight,2019-03-15 16:50:05,Football,Aravind Viswanath,0,96
157,Andreescu stuns Svitolina to reach the Indian Wells Masters final,2019-03-16 19:14:31,Tennis,Aravind Viswanath,0,107
158,UEFA Champions League Quarterfinals draw,2019-03-16 19:15:26,Football,Aravind Viswanath,0,110
159,Bengaluru clinches its maiden Indian Super League trophy after beating Goa by a solitary goal,2019-03-17 21:02:26,Football,Aravind Viswanath,0,199
160,Valtteri Bottas emerges victorious at the Australian GP,2019-03-17 21:01:38,F1,Aravind Viswanath,0,229
161,Dominic Thiem upsets Roger Federer in the Indian Wells Masters final,2019-03-18 16:51:28,Tennis,Aravind Viswanath,0,211
162,Inter gets the better of AC Milan in a classic derby encounter,2019-03-18 16:52:30,Football,Aravind Viswanath,0,107
163,Spurs get the better of Warriors in a tight NBA clash,2019-03-19 20:29:28,Basketball,Aravind Viswanath,0,174
164,Potential new proposals to the UEFA Champions League,2019-03-19 20:30:55,Football,Aravind Viswanath,0,229
165,South Africa come out on top by a whisker against Sri Lanka in the first T20I,2019-03-20 17:27:52,Cricket,Aravind Viswanath,0,77
166,India gets the hosting rights for the FIFA U17 Women's World Cup 2020,2019-03-20 17:29:11,Football,Aravind Viswanath,0,214
167,The Bizarre Conundrum of Zimbabwe Cricket: What went wrong and how?,2019-03-21 14:20:01,Cricket,Aravind Viswanath,0,151
168,Serbia holds new-look Germany to a draw in a friendly,2019-03-21 17:54:32,Football,Aravind Viswanath,0,175
169,Hazard's brace inspires Belgium to a fine victory over Russia in the EURO 2020 Qualifiers,2019-03-22 19:07:13,Football,Aravind Viswanath,0,191
170,Dhoni's Chennai crush Kohli's Bangalore in the 2019 IPL opener,2019-03-23 19:08:47,Cricket,Aravind Viswanath,0,981
171,Ten best cricketers to have represented Zimbabwe,2019-03-24 15:05:36,Cricket,Aravind Viswanath,0,178
172,Wankhede witnesses the wrath of Rishabh Pant,2019-03-25 16:15:40,Cricket,Aravind Viswanath,0,136
173,Nico Schulz's last-minute winner stuns Netherlands in the EURO 2020 Qualifiers,2019-03-25 16:14:19,Football,Aravind Viswanath,0,200
174,Federer breezes through to the Miami Open pre-quarters,2019-03-26 17:51:36,Tennis,Aravind Viswanath,0,215
175,France crush Iceland in their EURO 2020 Qualifier and go top of their group,2019-03-26 17:53:31,Football,Aravind Viswanath,0,194
176,LeBron inspires Lakers win over Wizards,2019-03-27 18:33:19,Basketball,Aravind Viswanath,0,112
177,Italy rout Liechtenstein in their EURO 2020 Qualifier,2019-03-27 18:34:26,Football,Aravind Viswanath,0,453
178,Grizzlies bow down to the Golden State Warriors,2019-03-28 18:42:33,Basketball,Aravind Viswanath,0,197
179,Smashing ton from Sanju stands apart in Nizam territory,2019-03-29 22:19:59,Cricket,Aravind Viswanath,0,93
180,Manchester City coasts to a straightforward win over Fulham,2019-03-30 20:35:13,Football,Aravind Viswanath,0,90
181,Hamilton finishes first in Bahrain after misfortune strikes Leclerc,2019-03-31 18:58:26,F1,Aravind Viswanath,0,194
182,Federer claims the Miami Open title with a comfortable victory over John Isner,2019-03-31 18:59:14,Tennis,Aravind Viswanath,0,163
183,Fortune gifts Liverpool three points amidst Lloris blunder,2019-04-01 19:47:40,Football,Aravind Viswanath,0,150
184,Delhi Capitals capitulate in a horrendous display against Punjab,2019-04-01 19:46:09,Cricket,Aravind Viswanath,0,93
185,Arsenal leapfrog their North London rivals to go third in the Premier League table,2019-04-02 21:21:53,Football,Aravind Viswanath,0,152
186,Phoenix Suns pip Cleveland Cavaliers to inflict a sixth straight loss,2019-04-02 21:20:27,Basketball,Aravind Viswanath,0,162
188,List of Super-Overs in IPL history,2019-04-03 22:37:37,Cricket,Venkat Kiran,0,199
189,Real Madrid suffers first loss under Zidane's second stint,2019-04-03 22:35:33,Football,Aravind Viswanath,0,168
190,Manchester City go back to the top of the Premier League table after demolishing Cardiff,2019-04-04 20:57:25,Football,Aravind Viswanath,0,185
191,Australia complete series whitewash against Pakistan in the UAE,2019-04-04 20:56:01,Cricket,Aravind Viswanath,0,143
192,Royal Challengers Bangalore slump to fifth straight loss after Russell blitz,2019-04-05 21:38:53,Cricket,Aravind Viswanath,0,91
